failure_type,count,percentage
No 'Resources' section found or it is empty,2900,82.36
No resource with valid Type (xxx::xxx::xxx) found,76,2.16
Template root is not a dictionary,37,1.05
Load error: Illegal trailing comma before end of object,25,0.71
"Load error: while parsing a flow mapping
  in ""<unicode string>"", line 3, column 15:
    Description: {{ metadata['description'] }}
                  ^
expected ',' or '}', but got '['
  in ""<unicode string>"", line 3, column 25:
    Description: {{ metadata['description'] }}
                            ^",24,0.68
Load error: Expecting property name enclosed in double quotes,21,0.6
"Load error: Expecting ',' delimiter",16,0.45
"Load error: could not determine a constructor for the tag '!Include'
  in ""<unicode string>"", line 4, column 15:
    Organization: !Include ./organization.yml
                  ^",15,0.43
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 47, column 17:
        ""Parameters"": {
                    ^",12,0.34
"Load error: expected a single document in the stream
  in ""<unicode string>"", line 1, column 1:
    Resources:
    ^
but found another document
  in ""<unicode string>"", line 5, column 1:
    ---
    ^",12,0.34
"Load error: could not determine a constructor for the tag '!Include'
  in ""<unicode string>"", line 5, column 15:
    Organization: !Include ../organization.yml
                  ^",11,0.31
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 24, column 17:
        ""Parameters"": {
                    ^",8,0.23
"Load error: could not determine a constructor for the tag '!Include'
  in ""<unicode string>"", line 3, column 15:
    Organization: !Include ./organization.yml
                  ^",7,0.2
"Load error: could not determine a constructor for the tag '!Rain::S3'
  in ""<unicode string>"", line 39, column 13:
          Code: !Rain::S3
                ^",5,0.14
"Load error: while scanning a simple key
  in ""<unicode string>"", line 7, column 1:
    {{- if .SerializedManifest }}
    ^
could not find expected ':'
  in ""<unicode string>"", line 8, column 3:
      Manifest: |
      ^",5,0.14
"Load error: while scanning a simple key
  in ""<unicode string>"", line 5, column 1:
    {{- if .SerializedManifest }}
    ^
could not find expected ':'
  in ""<unicode string>"", line 6, column 1:
    Metadata:
    ^",5,0.14
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 128, column 45:
     ... ultLandingUri: app:JupyterServer:
                                         ^",4,0.11
Load error: Illegal trailing comma before end of array,4,0.11
Load error: Expecting value,4,0.11
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 76, column 30:
                AMI: ami-d44008b8	
                                 ^",3,0.09
"Load error: while scanning a simple key
  in ""<unicode string>"", line 7, column 1:
    <<<<<<< HEAD
    ^
could not find expected ':'
  in ""<unicode string>"", line 8, column 15:
        Properties: {}
                  ^",3,0.09
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 2, column 3:
      App:
      ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 15, column 33:
      {{logicalIDSafe .ClusterName}}DBName:
                                    ^",3,0.09
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 2, column 3:
      App:
      ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 12, column 33:
      {{logicalIDSafe .ClusterName}}DBName:
                                    ^",3,0.09
"Load error: while parsing a flow mapping
  in ""<unicode string>"", line 3, column 15:
    Description: {{ metadata[""description""] }}
                  ^
expected ',' or '}', but got '['
  in ""<unicode string>"", line 3, column 25:
    Description: {{ metadata[""description""] }}
                            ^",3,0.09
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 13, column 7:
          RoleName: {{stackName}}-stepfunction
          ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 13, column 30:
          RoleName: {{stackName}}-stepfunction
                                 ^",3,0.09
"Load error: could not determine a constructor for the tag '!Include'
  in ""<unicode string>"", line 3, column 15:
    Organization: !Include ../organization.yml
                  ^",3,0.09
"Load error: while constructing a mapping
  in ""<unicode string>"", line 165, column 22:
            SecretToken: {{resolve:secretsmanager:MyGitHu ... 
                         ^
found unhashable key
  in ""<unicode string>"", line 165, column 23:
            SecretToken: {{resolve:secretsmanager:MyGitHub ... 
                          ^",3,0.09
"Load error: while scanning a simple key
  in ""<unicode string>"", line 16, column 1:
    {{include ""bootstrap-resources""  ... 
    ^
could not find expected ':'
  in ""<unicode string>"", line 18, column 1:
    Outputs:
    ^",2,0.06
"Load error: while scanning a simple key
  in ""<unicode string>"", line 31, column 1:
    <<<<<<< HEAD
    ^
could not find expected ':'
  in ""<unicode string>"", line 32, column 7:
          # VpcId: !Ref MyVPC  # Reference ... 
          ^",2,0.06
"Load error: while scanning a simple key
  in ""<unicode string>"", line 6, column 1:
    {{- if .SerializedManifest }}
    ^
could not find expected ':'
  in ""<unicode string>"", line 7, column 3:
      Manifest: |
      ^",2,0.06
"Load error: while scanning a simple key
  in ""<unicode string>"", line 18, column 7:
          AttributeDefinitions:{{range .At ... 
          ^
could not find expected ':'
  in ""<unicode string>"", line 19, column 24:
            - AttributeName: {{.Name}}
                           ^",2,0.06
"Load error: while scanning a simple key
  in ""<unicode string>"", line 2, column 1:
    <<<<<<< adam-updates
    ^
could not find expected ':'
  in ""<unicode string>"", line 3, column 1:
    Description: 'CloudFormation Tem ... 
    ^",2,0.06
"Load error: could not determine a constructor for the tag '!EachMemberEquals'
  in ""<unicode string>"", line 507, column 20:
        RuleCondition: !EachMemberEquals [ [ !Ref Membe ... 
                       ^",2,0.06
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 18, column 40:
     ... _NODEJS_CONNECTION_REUSE_ENABLED	: ""1""
                                         ^",2,0.06
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 101, column 36:
          ""3103"": ami-0e19b1335bc3654c3	 # seller account (shared with  ... 
                                       ^",2,0.06
"Load error: could not determine a constructor for the tag '!EachMemberEquals'
  in ""<unicode string>"", line 522, column 20:
        RuleCondition: !EachMemberEquals [ [ !Ref Membe ... 
                       ^",2,0.06
"Load error: could not determine a constructor for the tag '!EachMemberEquals'
  in ""<unicode string>"", line 526, column 20:
        RuleCondition: !EachMemberEquals [ [ !Ref Membe ... 
                       ^",2,0.06
Load error: Expecting ':' delimiter,2,0.06
"Load error: while scanning a simple key
  in ""<unicode string>"", line 69, column 11:
              Environment:{{range $name, $valu ... 
              ^
could not find expected ':'
  in ""<unicode string>"", line 70, column 11:
              - Name: {{$name}}
              ^",2,0.06
"Load error: could not determine a constructor for the tag '!EachMemberEquals'
  in ""<unicode string>"", line 518, column 20:
        RuleCondition: !EachMemberEquals [ [ !Ref Membe ... 
                       ^",2,0.06
"Load error: could not determine a constructor for the tag '!EachMemberEquals'
  in ""<unicode string>"", line 755, column 20:
        RuleCondition: !EachMemberEquals [[!Ref MemberB ... 
                       ^",2,0.06
"Load error: while constructing a mapping
  in ""<unicode string>"", line 83, column 22:
            SecretToken: {{resolve:secretsmanager:MyGitHu ... 
                         ^
found unhashable key
  in ""<unicode string>"", line 83, column 23:
            SecretToken: {{resolve:secretsmanager:MyGitHub ... 
                          ^",2,0.06
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 12, column 3:
      {{logicalIDSafe .Name}}Bucket:
      ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 12, column 26:
      {{logicalIDSafe .Name}}Bucket:
                             ^",2,0.06
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 2, column 3:
      {{ var.prefix }}LogGroup1:
      ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 2, column 19:
      {{ var.prefix }}LogGroup1:
                      ^",2,0.06
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 2, column 3:
      App:
      ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 9, column 33:
      {{logicalIDSafe .ClusterName}}DBName:
                                    ^",2,0.06
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 3, column 1:
    AWSTemplateFormatVersion: '2010- ... 
    ^
expected <block end>, but found '{'
  in ""<unicode string>"", line 3, column 39:
     ... plateFormatVersion: '2010-09-09'{{$accounts := .Accounts}}{{$app ... 
                                         ^",2,0.06
"Load error: could not determine a constructor for the tag '!EachMemberEquals'
  in ""<unicode string>"", line 729, column 20:
        RuleCondition: !EachMemberEquals [ [ !Ref Membe ... 
                       ^",2,0.06
"Load error: while parsing a flow mapping
  in ""<unicode string>"", line 2, column 15:
    Description: {{ metadata[""description""] }}
                  ^
expected ',' or '}', but got '['
  in ""<unicode string>"", line 2, column 25:
    Description: {{ metadata[""description""] }}
                            ^",2,0.06
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 3, column 3:
      name: {{ env }}-test-stack
      ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 3, column 18:
      name: {{ env }}-test-stack
                     ^",2,0.06
"Load error: while parsing a flow node
expected the node content, but found '-'
  in ""<unicode string>"", line 5, column 7:
        {{- with $cr := index .CustomResou ... 
          ^",2,0.06
"Load error: while parsing a flow node
expected the node content, but found '-'
  in ""<unicode string>"", line 20, column 7:
        {{- with $cr := index .CustomResou ... 
          ^",2,0.06
"Load error: while constructing a mapping
  in ""<unicode string>"", line 1, column 11:
    obsolete: {{ var.obsolete }}
              ^
found unhashable key
  in ""<unicode string>"", line 1, column 12:
    obsolete: {{ var.obsolete }}
               ^",2,0.06
"Load error: could not determine a constructor for the tag '!Rain::Constant'
  in ""<unicode string>"", line 14, column 19:
          BucketName: !Rain::Constant Test1
                      ^",2,0.06
"Load error: could not determine a constructor for the tag '!Include'
  in ""<unicode string>"", line 4, column 15:
    Organization: !Include ../organization.yml
                  ^",2,0.06
"Load error: while constructing a mapping
  in ""<unicode string>"", line 26, column 17:
          RoleName: {{ var.roleName }}
                    ^
found unhashable key
  in ""<unicode string>"", line 26, column 18:
          RoleName: {{ var.roleName }}
                     ^",2,0.06
"Load error: could not determine a constructor for the tag '!Rain::S3'
  in ""<unicode string>"", line 5, column 13:
          Code: !Rain::S3
                ^",2,0.06
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 288, column 24:
              Value: EC2-SG	            
                           ^",2,0.06
"Load error: could not determine a constructor for the tag '!$'
  in ""<unicode string>"", line 39, column 22:
          RedrivePolicy: !$ RedrivePolicy
                         ^",1,0.03
"Load error: could not determine a constructor for the tag '!$'
  in ""<unicode string>"", line 79, column 16:
          Handler: !$ Handler
                   ^",1,0.03
"Load error: could not determine a constructor for the tag '!$concatMap'
  in ""<unicode string>"", line 91, column 25:
    transformation_example: !$concatMap
                            ^",1,0.03
"Load error: could not determine a constructor for the tag '!$eq'
  in ""<unicode string>"", line 181, column 12:
        Value: !$eq [!$ services, !$ services]  ... 
               ^",1,0.03
"Load error: could not determine a constructor for the tag '!$eq'
  in ""<unicode string>"", line 250, column 12:
        Value: !$eq [!$ keyValuePairs, !$ keyVa ... 
               ^",1,0.03
"Load error: could not determine a constructor for the tag '!$eq'
  in ""<unicode string>"", line 253, column 12:
        Value: !$eq [!$ keyValuePairs, !$ keyVa ... 
               ^",1,0.03
"Load error: could not determine a constructor for the tag '!$eq'
  in ""<unicode string>"", line 277, column 12:
        Value: !$eq [!$ resources, !$ resources]
               ^",1,0.03
"Load error: could not determine a constructor for the tag '!$if'
  in ""<unicode string>"", line 287, column 30:
          BackupRetentionPeriod: !$if
                                 ^",1,0.03
"Load error: could not determine a constructor for the tag '!$if'
  in ""<unicode string>"", line 29, column 21:
      DatabaseInstance: !$if
                        ^",1,0.03
"Load error: could not determine a constructor for the tag '!$if'
  in ""<unicode string>"", line 69, column 31:
          DeleteAutomatedBackups: !$if
                                  ^",1,0.03
"Load error: could not determine a constructor for the tag '!$let'
  in ""<unicode string>"", line 15, column 21:
      LoadBalancerPort: !$let
                        ^",1,0.03
"Load error: could not determine a constructor for the tag '!$split'
  in ""<unicode string>"", line 18, column 14:
        Default: !$split ["","", ""apple,banana,cher ... 
                 ^",1,0.03
"Load error: could not determine a constructor for the tag '!$toJsonString'
  in ""<unicode string>"", line 16, column 14:
          Value: !$toJsonString
                 ^",1,0.03
"Load error: could not determine a constructor for the tag '!Contains'
  in ""<unicode string>"", line 300, column 25:
        RuleCondition: !Or [!Contains [[m4.large, m4.xlarge, ... 
                            ^",1,0.03
"Load error: could not determine a constructor for the tag '!Contains'
  in ""<unicode string>"", line 382, column 17:
            Assert: !Contains
                    ^",1,0.03
"Load error: could not determine a constructor for the tag '!Contains'
  in ""<unicode string>"", line 388, column 17:
          - Assert: !Contains
                    ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 231, column 24:
              Value: EC2-SG	            
                           ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 248, column 43:
     ... y: tag:aws:autoscaling:groupName	
                                         ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 256, column 24:
              Value: EC2-SG	            
                           ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 258, column 24:
              Value: EC2-SG	            
                           ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 266, column 24:
              Value: EC2-SG	            
                           ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 281, column 43:
     ... y: tag:aws:autoscaling:groupName	
                                         ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 285, column 24:
              Value: EC2-SG	            
                           ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 298, column 24:
              Value: EC2-SG	            
                           ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 3, column 1:
    	""uri"": ""/"",
    ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 3, column 1:
    	""uri"": ""/vi/"",
    ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 300, column 43:
     ... y: tag:aws:autoscaling:groupName	
                                         ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 36, column 28:
                Encrypted: True	# https://aws.amazon.com/about- ... 
                               ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 37, column 1:
    	include:
    ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 41, column 1:
    	# add ID of virtual server and  ... 
    ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 69, column 1:
    	
    ^",1,0.03
"Load error: could not determine a constructor for the tag '!Rain::S3'
  in ""<unicode string>"", line 15, column 13:
          Code: !Rain::S3 
                ^",1,0.03
"Load error: could not determine a constructor for the tag '!Rain::S3'
  in ""<unicode string>"", line 37, column 13:
          Code: !Rain::S3
                ^",1,0.03
"Load error: could not determine a constructor for the tag '!Rain::S3'
  in ""<unicode string>"", line 5, column 13:
          Code: !Rain::S3 
                ^",1,0.03
"Load error: could not determine a constructor for the tag '!Rain::S3'
  in ""<unicode string>"", line 6, column 9:
            !Rain::S3
            ^",1,0.03
"Load error: could not determine a constructor for the tag '!Rain::S3'
  in ""<unicode string>"", line 60, column 16:
          Content: !Rain::S3 
                   ^",1,0.03
"Load error: could not determine a constructor for the tag '!ReadFile'
  in ""<unicode string>"", line 17, column 13:
              - !ReadFile 'bucketPolicyDoc.json'
                ^",1,0.03
"Load error: could not determine a constructor for the tag '!ReadFile'
  in ""<unicode string>"", line 26, column 18:
            ZipFile: !ReadFile './src/index.js'
                     ^",1,0.03
"Load error: could not determine a constructor for the tag '!ReadFile'
  in ""<unicode string>"", line 29, column 18:
            ZipFile: !ReadFile './lambda-using-read-f ... 
                     ^",1,0.03
"Load error: could not determine a constructor for the tag '!Ref:'
  in ""<unicode string>"", line 138, column 17:
                  - !Ref: AWS::NoValue
                    ^",1,0.03
"Load error: could not determine a constructor for the tag '!sub'
  in ""<unicode string>"", line 123, column 13:
                !sub
                ^",1,0.03
"Load error: could not determine a constructor for the tag 'tag:yaml.org,2002:Ref'
  in ""<unicode string>"", line 58, column 25:
            CacheNamespace: !!Ref SMSResource
                            ^",1,0.03
"Load error: could not determine a constructor for the tag 'tag:yaml.org,2002:Ref'
  in ""<unicode string>"", line 86, column 18:
          RestApiId: !!Ref TemperatureApi
                     ^",1,0.03
"Load error: could not determine a constructor for the tag 'tag:yaml.org,2002:Ref'
  in ""<unicode string>"", line 86, column 27:
                  RegionName: !!Ref ClusterRegionName
                              ^",1,0.03
"Load error: expected '<document start>', but found '<block mapping start>'
  in ""<unicode string>"", line 17, column 1:
    Resources:
    ^",1,0.03
"Load error: expected '<document start>', but found '<block mapping start>'
  in ""<unicode string>"", line 2, column 1:
    Resources:
    ^",1,0.03
"Load error: expected a single document in the stream
  in ""<unicode string>"", line 2, column 1:
    name: s3-buckets
    ^
but found another document
  in ""<unicode string>"", line 4, column 1:
    ---
    ^",1,0.03
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 11, column 21:
            Type:   Type: AWS::IAM::Role
                        ^",1,0.03
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 14, column 23:
          BucketEncryption:
                          ^",1,0.03
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 2, column 27:
      AWSTemplateFormatVersion: ""2010-09-09""
                              ^",1,0.03
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 2, column 29:
      ""AWSTemplateFormatVersion"": ""2010-09-09"",
                                ^",1,0.03
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 22, column 16:
            Subnets: !Ref Subnets
                   ^",1,0.03
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 255, column 27:
          SecurityGroupIngress:
                              ^",1,0.03
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 3, column 15:
        MyKey: Ref: AWS::NoValue
                  ^",1,0.03
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 38, column 14:
          ImageId: 
                 ^",1,0.03
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 5, column 9:
        Type: String
            ^",1,0.03
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 8, column 8:
          X: Y
           ^",1,0.03
"Load error: could not determine a constructor for the tag '!EachMemberIn'
  in ""<unicode string>"", line 579, column 17:
          - Assert: !EachMemberIn
                    ^",1,0.03
