failure_type,count,percentage
"Load error: could not determine a constructor for the tag '!EachMemberIn'
  in ""<unicode string>"", line 75, column 17:
          - Assert: !EachMemberIn
                    ^",1,0.03
"Load error: could not determine a constructor for the tag '!Equals:'
  in ""<unicode string>"", line 10, column 5:
        !Equals:
        ^",1,0.03
"Load error: could not determine a constructor for the tag '!Equals:'
  in ""<unicode string>"", line 9, column 5:
        !Equals:
        ^",1,0.03
"Load error: could not determine a constructor for the tag '!Include'
  in ""<unicode string>"", line 14, column 15:
    Organization: !Include ./organization.yml
                  ^",1,0.03
"Load error: could not determine a constructor for the tag '!Include'
  in ""<unicode string>"", line 5, column 7:
          !Include http://localhost:9999/s ... 
          ^",1,0.03
"Load error: could not determine a constructor for the tag '!Include'
  in ""<unicode string>"", line 7, column 15:
    Organization: !Include ./organization.yml
                  ^",1,0.03
"Load error: could not determine a constructor for the tag '!JsonString'
  in ""<unicode string>"", line 17, column 13:
              - !JsonString
                ^",1,0.03
"Load error: could not determine a constructor for the tag '!R'
  in ""<unicode string>"", line 22, column 21:
          RouteTableId: !R
                        ^",1,0.03
"Load error: could not determine a constructor for the tag '!Rain::Env'
  in ""<unicode string>"", line 5, column 19:
          BucketName: !Rain::Env BUCKET_NAME
                      ^",1,0.03
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 9, column 7:
    Syntax:   tsc [options] [file...]
          ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 1, column 11:
    obsolete: {{ var.obsolete1 }}
              ^
found unhashable key
  in ""<unicode string>"", line 1, column 12:
    obsolete: {{ var.obsolete1 }}
               ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 1, column 11:
    obsolete: {{ var.obsolete2 }}
              ^
found unhashable key
  in ""<unicode string>"", line 1, column 12:
    obsolete: {{ var.obsolete2 }}
               ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 1, column 11:
    obsolete: {{ var.obsolete3 }}
              ^
found unhashable key
  in ""<unicode string>"", line 1, column 12:
    obsolete: {{ var.obsolete3 }}
               ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 1, column 11:
    obsolete: {{ var.obsolete4 }}
              ^
found unhashable key
  in ""<unicode string>"", line 1, column 12:
    obsolete: {{ var.obsolete4 }}
               ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 1, column 14:
    Description: {{ stack.name }}
                 ^
found unhashable key
  in ""<unicode string>"", line 1, column 15:
    Description: {{ stack.name }}
                  ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 10, column 13:
      greeting: {{ var.greeting }}
                ^
found unhashable key
  in ""<unicode string>"", line 10, column 14:
      greeting: {{ var.greeting }}
                 ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 10, column 18:
          CidrBlock: {{ .vpc.cidr }}
                     ^
found unhashable key
  in ""<unicode string>"", line 10, column 19:
          CidrBlock: {{ .vpc.cidr }}
                      ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 12, column 22:
          ServiceToken:  {{ .custom.lambda_arn }}
                         ^
found unhashable key
  in ""<unicode string>"", line 12, column 23:
          ServiceToken:  {{ .custom.lambda_arn }}
                          ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 12, column 7:
          <<: !Include ./includes/lambda.yml
          ^
expected a mapping or list of mappings for merging, but found scalar
  in ""<unicode string>"", line 12, column 11:
          <<: !Include ./includes/lambda.yml
              ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 2, column 9:
      Name: {{ var.name }}
            ^
found unhashable key
  in ""<unicode string>"", line 2, column 10:
      Name: {{ var.name }}
             ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 2, column 9:
      name: {{ var.name }}
            ^
found unhashable key
  in ""<unicode string>"", line 2, column 10:
      name: {{ var.name }}
             ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 22, column 17:
          RoleName: {{ var.roleName }}
                    ^
found unhashable key
  in ""<unicode string>"", line 22, column 18:
          RoleName: {{ var.roleName }}
                     ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 27, column 20:
              ImageId: {{ami_id}}
                       ^
found unhashable key
  in ""<unicode string>"", line 27, column 21:
              ImageId: {{ami_id}}
                        ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 3, column 24:
    terminationProtection: {{ var.terminationProtection }}
                           ^
found unhashable key
  in ""<unicode string>"", line 3, column 25:
    terminationProtection: {{ var.terminationProtection }}
                            ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 3, column 8:
      age: {{ var.age2 }}
           ^
found unhashable key
  in ""<unicode string>"", line 3, column 9:
      age: {{ var.age2 }}
            ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 30, column 18:
            ZipFile: {{ code('resource.py') }}
                     ^
found unhashable key
  in ""<unicode string>"", line 30, column 19:
            ZipFile: {{ code('resource.py') }}
                      ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 34, column 18:
            ZipFile: {{ GET .kmsLambda.code  | literal }}
                     ^
found unhashable key
  in ""<unicode string>"", line 34, column 19:
            ZipFile: {{ GET .kmsLambda.code  | literal }}
                      ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 4, column 10:
      Color: {{ var.color }}
             ^
found unhashable key
  in ""<unicode string>"", line 4, column 11:
      Color: {{ var.color }}
              ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 4, column 10:
      color: {{ var.color }}
             ^
found unhashable key
  in ""<unicode string>"", line 4, column 11:
      color: {{ var.color }}
              ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 6, column 12:
        Value: {{ hooks.first }}
               ^
found unhashable key
  in ""<unicode string>"", line 6, column 13:
        Value: {{ hooks.first }}
                ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 6, column 12:
        Value: {{ hooks.myHook }}
               ^
found unhashable key
  in ""<unicode string>"", line 6, column 13:
        Value: {{ hooks.myHook }}
                ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 6, column 12:
        Value: {{ hooks.one }}
               ^
found unhashable key
  in ""<unicode string>"", line 6, column 13:
        Value: {{ hooks.one }}
                ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 6, column 12:
        Value: {{ hooks.second }}
               ^
found unhashable key
  in ""<unicode string>"", line 6, column 13:
        Value: {{ hooks.second }}
                ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 6, column 17:
          RoleName: {{ var.roleName }}
                    ^
found unhashable key
  in ""<unicode string>"", line 6, column 18:
          RoleName: {{ var.roleName }}
                     ^",1,0.03
"Load error: while constructing a mapping
  in ""<unicode string>"", line 77, column 27:
                    Resource: {{dockerhub_secret_arn}}
                              ^
found unhashable key
  in ""<unicode string>"", line 77, column 28:
                    Resource: {{dockerhub_secret_arn}}
                               ^",1,0.03
"Load error: while constructing a mapping
found unhashable key
  in ""<unicode string>"", line 118, column 3:
      {{BucketId}}:
      ^",1,0.03
"Load error: while constructing a mapping
found unhashable key
  in ""<unicode string>"", line 203, column 39:
     ... AvailabilityZone: !Select ['0', !GetAZs Ref: 'AWS::Region']
                                         ^",1,0.03
"Load error: while constructing a mapping
found unhashable key
  in ""<unicode string>"", line 29, column 3:
      {{DownloadACLArn}}:
      ^",1,0.03
"Load error: while constructing a mapping
found unhashable key
  in ""<unicode string>"", line 81, column 3:
      {{BucketId}}:
      ^",1,0.03
"Load error: while parsing a block collection
  in ""<unicode string>"", line 167, column 15:
                  - !Sub ""arn:aws:sso:::instance/$ ... 
                  ^
expected <block end>, but found ','
  in ""<unicode string>"", line 167, column 66:
     ... :::instance/${IAMIdCInstanceID}"",
                                         ^",1,0.03
"Load error: while parsing a block collection
  in ""<unicode string>"", line 38, column 19:
                      - ""ecs:DescribeServices"",
                      ^
expected <block end>, but found ','
  in ""<unicode string>"", line 38, column 43:
     ...         - ""ecs:DescribeServices"",
                                         ^",1,0.03
"Load error: while parsing a block collection
  in ""<unicode string>"", line 41, column 11:
              - HasSortKey
              ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 44, column 11:
              AttributeType: S  # String type  ... 
              ^",1,0.03
"Load error: while parsing a block collection
  in ""<unicode string>"", line 48, column 9:
            - {{allowed_ip}}/32
            ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 48, column 25:
            - {{allowed_ip}}/32
                            ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 1, column 1:
    AWSTemplateFormatVersion: '2010- ... 
    ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 2, column 37:
    Description: {{ .Context | title }} web application for {{ .StackName }}
                                        ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 1, column 1:
    AWSTemplateFormatVersion: '2010- ... 
    ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 49, column 17:
        MinLength: '9'
                    ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 1, column 1:
    Description: {{ code }} {{ other }}
    ^
expected <block end>, but found '{'
  in ""<unicode string>"", line 1, column 25:
    Description: {{ code }} {{ other }}
                            ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 10, column 3:
      {{logicalIDSafe .Name}}Bucket:
      ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 10, column 26:
      {{logicalIDSafe .Name}}Bucket:
                             ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 10, column 7:
          AvailabilityZone: !Ref '<caret>
          ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 11, column 22:
          InstanceType: '1'
                         ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 10, column 9:
            Key: ThisIs
            ^
expected <block end>, but found '-'
  in ""<unicode string>"", line 12, column 9:
            - Key: ThisIs
            ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 11, column 7:
          Cluster: !Ref '<caret>
          ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 12, column 22:
          DesiredCount: '1'
                         ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 12, column 3:
      {{logicalIDSafe .Name}}BucketAcc ... 
      ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 12, column 26:
      {{logicalIDSafe .Name}}BucketAccessPolicy:
                             ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 12, column 3:
      {{logicalIDSafe .Name}}DdbTableA ... 
      ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 12, column 26:
      {{logicalIDSafe .Name}}DdbTableAccessPolicy:
                             ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 13, column 9:
          - Key: Name
            ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 14, column 25:
            Value: {{ env }}-vpc
                            ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 15, column 3:
      {{logicalIDSafe .ClusterName}}Cl ... 
      ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 15, column 33:
      {{logicalIDSafe .ClusterName}}ClusterSecurityGroupIngressFromW ... 
                                    ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 16, column 3:
      S3Bucket:
      ^
expected <block end>, but found '<tag>'
  in ""<unicode string>"", line 49, column 31:
      SecurityGroups: !$fromPairs !$map
                                  ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 2, column 1:
    name: {{ env }}-infra
    ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 2, column 16:
    name: {{ env }}-infra
                   ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 2, column 3:
      name: {{ var.name }}-eu-west-1
      ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 2, column 23:
      name: {{ var.name }}-eu-west-1
                          ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 2, column 3:
      name: {{ var.name }}-us-east-1
      ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 2, column 23:
      name: {{ var.name }}-us-east-1
                          ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 2, column 3:
      {{ module_name }}ModuleBucket:
      ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 2, column 20:
      {{ module_name }}ModuleBucket:
                       ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 2, column 3:
      {{ module_name }}SubModuleBucket:
      ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 2, column 20:
      {{ module_name }}SubModuleBucket:
                       ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 23, column 3:
      VPC:
      ^
expected <block end>, but found '<tag>'
  in ""<unicode string>"", line 34, column 24:
      Subnets: !$fromPairs !$concatMap
                           ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 3, column 3:
      Name: {{ var.name }}-eu-west-1
      ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 3, column 23:
      Name: {{ var.name }}-eu-west-1
                          ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 3, column 3:
      Name: {{ var.name }}-us-east-1
      ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 3, column 23:
      Name: {{ var.name }}-us-east-1
                          ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 3, column 3:
      TestS3:
      ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 9, column 5:
        Properties:
        ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 3, column 3:
      name: {{ env }}-coreos
      ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 3, column 18:
      name: {{ env }}-coreos
                     ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 3, column 3:
      name: {{ env }}-infra
      ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 3, column 18:
      name: {{ env }}-infra
                     ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 47, column 3:
      VPC:
      ^
expected <block end>, but found '<tag>'
  in ""<unicode string>"", line 74, column 30:
      PublicSubnets: !$fromPairs !$map
                                 ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 5, column 7:
          ManagedPolicyName: DynamoDB-inbox 
          ^
expected <block end>, but found '-'
  in ""<unicode string>"", line 6, column 7:
          - PolicyDocument: 
          ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 5, column 7:
          ManagedPolicyName: DynamoDB-outbox
          ^
expected <block end>, but found '-'
  in ""<unicode string>"", line 6, column 7:
          - PolicyDocument: 
          ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 5, column 7:
          ManagedPolicyName: DynamoDB-tempdata
          ^
expected <block end>, but found '-'
  in ""<unicode string>"", line 6, column 7:
          - PolicyDocument: 
          ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 5, column 7:
          ManagedPolicyName: DynamoDB-users
          ^
expected <block end>, but found '-'
  in ""<unicode string>"", line 6, column 7:
          - PolicyDocument: 
          ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 6, column 7:
          BucketName: !Sub ""my-bucket""
          ^
expected <block end>, but found '<tag>'
  in ""<unicode string>"", line 7, column 22:
          Enabled: !$not !$eq
                         ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 78, column 7:
          TemplateURL: !Join [/, 'S3Templa ... 
          ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 79, column 9:
            Parameters:
            ^",1,0.03
"Load error: while parsing a block mapping
  in ""<unicode string>"", line 9, column 5:
        Type: String
        ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 10, column 38:
     ... escription: {{.SourceProvider}} repository
                                         ^",1,0.03
"Load error: while parsing a block node
expected the node content, but found '?'
  in ""<unicode string>"", line 7, column 4:
       Label:
       ^",1,0.03
"Load error: while parsing a flow mapping
  in ""<unicode string>"", line 16, column 4:
      {{#each stack.parameters}}
       ^
expected ',' or '}', but got ':'
  in ""<unicode string>"", line 18, column 10:
        Value: {{value}}
             ^",1,0.03
"Load error: could not determine a constructor for the tag '!EachMemberEquals'
  in ""<unicode string>"", line 625, column 20:
        RuleCondition: !EachMemberEquals [ [ !Ref Membe ... 
                       ^",1,0.03
"Load error: could not determine a constructor for the tag '!EachMemberEquals'
  in ""<unicode string>"", line 626, column 20:
        RuleCondition: !EachMemberEquals [ [ !Ref Membe ... 
                       ^",1,0.03
"Load error: could not determine a constructor for the tag '!EachMemberEquals'
  in ""<unicode string>"", line 634, column 20:
        RuleCondition: !EachMemberEquals [ [ !Ref Membe ... 
                       ^",1,0.03
"Load error: could not determine a constructor for the tag '!EachMemberEquals'
  in ""<unicode string>"", line 635, column 20:
        RuleCondition: !EachMemberEquals [ [ !Ref Membe ... 
                       ^",1,0.03
"Load error: could not determine a constructor for the tag '!EachMemberEquals'
  in ""<unicode string>"", line 770, column 20:
        RuleCondition: !EachMemberEquals [ [ !Ref Membe ... 
                       ^",1,0.03
"Load error: could not determine a constructor for the tag '!EachMemberEquals'
  in ""<unicode string>"", line 832, column 20:
        RuleCondition: !EachMemberEquals [ [ !Ref Membe ... 
                       ^",1,0.03
"Load error: could not determine a constructor for the tag '!EachMemberEquals'
  in ""<unicode string>"", line 852, column 20:
        RuleCondition: !EachMemberEquals [[!Ref MemberB ... 
                       ^",1,0.03
"Load error: could not determine a constructor for the tag '!EachMemberIn'
  in ""<unicode string>"", line 498, column 17:
          - Assert: !EachMemberIn
                    ^",1,0.03
"Load error: could not determine a constructor for the tag '!EachMemberIn'
  in ""<unicode string>"", line 500, column 17:
          - Assert: !EachMemberIn
                    ^",1,0.03
"Load error: could not determine a constructor for the tag '!EachMemberIn'
  in ""<unicode string>"", line 509, column 17:
          - Assert: !EachMemberIn
                    ^",1,0.03
"Load error: could not determine a constructor for the tag '!EachMemberIn'
  in ""<unicode string>"", line 518, column 17:
          - Assert: !EachMemberIn
                    ^",1,0.03
"Load error: could not determine a constructor for the tag '!EachMemberIn'
  in ""<unicode string>"", line 561, column 17:
          - Assert: !EachMemberIn
                    ^",1,0.03
"Load error: could not determine a constructor for the tag '!EachMemberIn'
  in ""<unicode string>"", line 569, column 17:
          - Assert: !EachMemberIn
                    ^",1,0.03
"Load error: could not determine a constructor for the tag '!EachMemberIn'
  in ""<unicode string>"", line 570, column 17:
          - Assert: !EachMemberIn
                    ^",1,0.03
