failure_type,count,percentage
"Load error: while parsing a flow mapping
  in ""<unicode string>"", line 2, column 15:
    Description: {{ metadata['description'] }}
                  ^
expected ',' or '}', but got '['
  in ""<unicode string>"", line 2, column 25:
    Description: {{ metadata['description'] }}
                            ^",1,0.03
"Load error: while parsing a flow mapping
  in ""<unicode string>"", line 5, column 15:
    Description: {{ metadata['description'] }}
                  ^
expected ',' or '}', but got '['
  in ""<unicode string>"", line 5, column 25:
    Description: {{ metadata['description'] }}
                            ^",1,0.03
"Load error: while parsing a flow mapping
  in ""<unicode string>"", line 56, column 20:
            S3Bucket: {{artifacts['build/code.py.zip']. ... 
                       ^
expected ',' or '}', but got '['
  in ""<unicode string>"", line 56, column 30:
            S3Bucket: {{artifacts['build/code.py.zip'].bucket}}
                                 ^",1,0.03
"Load error: while parsing a flow node
expected the node content, but found '-'
  in ""<unicode string>"", line 4, column 5:
      {{- range $i, $_ := loop .stack.no ... 
        ^",1,0.03
"Load error: while parsing a flow node
expected the node content, but found '-'
  in ""<unicode string>"", line 4, column 5:
      {{- range $i, $_ := loop .teststac ... 
        ^",1,0.03
"Load error: while parsing a flow node
expected the node content, but found '-'
  in ""<unicode string>"", line 6, column 5:
      {{- if isCodeStarConnection .Source}}
        ^",1,0.03
"Load error: while parsing a flow node
expected the node content, but found '-'
  in ""<unicode string>"", line 8, column 5:
      {{- if isCodeStarConnection .Source}}
        ^",1,0.03
"Load error: while parsing a flow sequence
  in ""<unicode string>"", line 107, column 27:
              Subnets: !Split [',', !ImportValue !Sub '${Envir ... 
                              ^
expected ',' or ']', but got '<tag>'
  in ""<unicode string>"", line 107, column 46:
     ... nets: !Split [',', !ImportValue !Sub '${EnvironmentName}-PublicS ... 
                                         ^",1,0.03
"Load error: while parsing a flow sequence
  in ""<unicode string>"", line 33, column 33:
          AvailabilityZone: !Select [0, !GetAZs]    # Get the first  ... 
                                    ^
expected ',' or ']', but got ':'
  in ""<unicode string>"", line 34, column 11:
          Tags:
              ^",1,0.03
"Load error: while parsing a flow sequence
  in ""<unicode string>"", line 42, column 33:
          AvailabilityZone: !Select [0, !GetAZs]    # Get the first  ... 
                                    ^
expected ',' or ']', but got ':'
  in ""<unicode string>"", line 43, column 26:
          MapPublicIpOnLaunch: true     
                             ^",1,0.03
"Load error: while parsing a flow sequence
  in ""<unicode string>"", line 54, column 33:
          AvailabilityZone: !Select [0, !GetAZs]    # Get the first  ... 
                                    ^
expected ',' or ']', but got ':'
  in ""<unicode string>"", line 55, column 11:
          Tags:
              ^",1,0.03
"Load error: while parsing a flow sequence
  in ""<unicode string>"", line 61, column 25:
          SubnetIds: !Split [',', !ImportValue !Sub '${Envir ... 
                            ^
expected ',' or ']', but got '<tag>'
  in ""<unicode string>"", line 61, column 44:
     ... tIds: !Split [',', !ImportValue !Sub '${EnvironmentName}-Private ... 
                                         ^",1,0.03
"Load error: while parsing a flow sequence
  in ""<unicode string>"", line 99, column 33:
          AvailabilityZone: !Select [0, !GetAZs]    # Get the first  ... 
                                    ^
expected ',' or ']', but got ':'
  in ""<unicode string>"", line 100, column 11:
          Tags:
              ^",1,0.03
"Load error: while scanning a quoted scalar
  in ""<unicode string>"", line 11, column 21:
          Cluster: !Ref ""<caret>
                        ^
found unexpected end of stream
  in ""<unicode string>"", line 11, column 29:
          Cluster: !Ref ""<caret>
                                ^",1,0.03
"Load error: while scanning a quoted scalar
  in ""<unicode string>"", line 11, column 21:
          Cluster: !Ref ""<caret>
                        ^
found unexpected end of stream
  in ""<unicode string>"", line 13, column 25:
          TaskDefinition: AA
                            ^",1,0.03
"Load error: while scanning a quoted scalar
  in ""<unicode string>"", line 11, column 21:
          Cluster: !Ref '<caret>
                        ^
found unexpected end of stream
  in ""<unicode string>"", line 11, column 29:
          Cluster: !Ref '<caret>
                                ^",1,0.03
"Load error: while scanning a quoted scalar
  in ""<unicode string>"", line 6, column 19:
          BucketName: ""test-bucket
                      ^
found unexpected end of stream
  in ""<unicode string>"", line 7, column 15:
          Tags: []
                  ^",1,0.03
"Load error: while scanning a quoted scalar
  in ""<unicode string>"", line 86, column 25:
          GroupDescription: 'Allow
                            ^
found unexpected end of stream
  in ""<unicode string>"", line 88, column 1:
    
    ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 100, column 1:
    {{- with $values := .Values }}
    ^
could not find expected ':'
  in ""<unicode string>"", line 101, column 1:
    {{- range $az := $values.availab ... 
    ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 109, column 9:
            WorkerInstanceProfileName
            ^
could not find expected ':'
  in ""<unicode string>"", line 110, column 9:
            RegisterNlbIpTargetsLambdaArn
            ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 11, column 1:
    $SOURCE
    ^
could not find expected ':'
  in ""<unicode string>"", line 12, column 18:
          Description: Cloudformation custom resource ... 
                     ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 11, column 1:
    {{ if eq .Cluster.Provider ""zala ... 
    ^
could not find expected ':'
  in ""<unicode string>"", line 13, column 3:
      {{- if eq .Cluster.ConfigItems.e ... 
      ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 128, column 1:
    {{- range $account := .AppDNSDel ... 
    ^
could not find expected ':'
  in ""<unicode string>"", line 129, column 17:
                    - !Sub arn:${AWS::Partition}:iam ... 
                    ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 13, column 1:
    {{#each sns}}
    ^
could not find expected ':'
  in ""<unicode string>"", line 14, column 3:
      {{name}}Sns:
      ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 16, column 5:
        {{- if .PermissionsBoundary}}
        ^
could not find expected ':'
  in ""<unicode string>"", line 17, column 5:
        PermissionsBoundary: !Sub 'arn:$ ... 
        ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 16, column 7:
          AttributeDefinitions:{{range .At ... 
          ^
could not find expected ':'
  in ""<unicode string>"", line 17, column 24:
            - AttributeName: {{.Name}}
                           ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 17, column 1:
    {{ with $data := . }}
    ^
could not find expected ':'
  in ""<unicode string>"", line 18, column 1:
    {{ with $azCount := len $data.Va ... 
    ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 2, column 1:
    <<<<<<< HEAD
    ^
could not find expected ':'
  in ""<unicode string>"", line 3, column 1:
    Description: Deploys a Check Poi ... 
    ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 2, column 1:
    Hello1
    ^
could not find expected ':'
  in ""<unicode string>"", line 3, column 1:
    Test: 1
    ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 20, column 17:
                    {{- if .PublicHTTPConfig.ELBAcce ... 
                    ^
could not find expected ':'
  in ""<unicode string>"", line 21, column 17:
                    - '/'
                    ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 20, column 1:
    <<<<<<< HEAD
    ^
could not find expected ':'
  in ""<unicode string>"", line 21, column 3:
      # PublicSubnet1Name:
      ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 20, column 1:
    {{ if eq .stack ""mainVPC"" }}
    ^
could not find expected ':'
  in ""<unicode string>"", line 21, column 3:
      vpcid:
      ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 21, column 1:
    <<<<<<< HEAD
    ^
could not find expected ':'
  in ""<unicode string>"", line 22, column 19:
      SecurityGroupIds:
                      ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 22, column 1:
    {{- if or .PublicHTTPConfig.Impo ... 
    ^
could not find expected ':'
  in ""<unicode string>"", line 23, column 9:
            - Sid: ImportedCertificates
            ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 22, column 1:
    {{- range $listener := .NLB.List ... 
    ^
could not find expected ':'
  in ""<unicode string>"", line 23, column 7:
          - CidrIp: 0.0.0.0/0
          ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 23, column 1:
    {{- if eq .NLB.Listener.Protocol ... 
    ^
could not find expected ':'
  in ""<unicode string>"", line 24, column 5:
        Certificates:
        ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 25, column 1:
    {{ if gt (len .NodePool.Instance ... 
    ^
could not find expected ':'
  in ""<unicode string>"", line 26, column 7:
          MixedInstancesPolicy:
          ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 27, column 1:
    <<<<<<< HEAD
    ^
could not find expected ':'
  in ""<unicode string>"", line 28, column 15:
        Properties: {}
                  ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 27, column 1:
    <<<<<<< HEAD
    ^
could not find expected ':'
  in ""<unicode string>"", line 28, column 7:
          # VpcId: !Ref MyVPC
          ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 27, column 3:
      AnotherUnfinishedParameter
      ^
could not find expected ':'
  in ""<unicode string>"", line 28, column 3:
      OperatorEMail:
      ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 3, column 1:
    {{#if var.case1}}
    ^
could not find expected ':'
  in ""<unicode string>"", line 4, column 1:
    stackPolicy: |
    ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 3, column 1:
    {{#if vpc}}
    ^
could not find expected ':'
  in ""<unicode string>"", line 4, column 1:
    Parameters:
    ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 34, column 7:
          EnableKeyRotation
          ^
could not find expected ':'
  in ""<unicode string>"", line 35, column 7:
          KeyPolicy:
          ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 359, column 9:
            {{with .Environment}}
            ^
could not find expected ':'
  in ""<unicode string>"", line 360, column 11:
              {{range $key, $val := .}}
              ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 36, column 1:
    <<<<<<< HEAD
    ^
could not find expected ':'
  in ""<unicode string>"", line 37, column 1:
    Outputs: {}
    ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 371, column 7:
          Blaa
          ^
could not find expected ':'
  in ""<unicode string>"", line 372, column 7:
          AWS::CloudFormation::Init:
          ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 4, column 1:
    {{- range .sqs.queues }}
    ^
could not find expected ':'
  in ""<unicode string>"", line 5, column 3:
      {{ .QueueName }}Queue:
      ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 40, column 1:
    {{ with $data := . }}
    ^
could not find expected ':'
  in ""<unicode string>"", line 41, column 1:
    {{ range $az := $data.Values.ava ... 
    ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 41, column 1:
    {{- range $index, $value := .sim ... 
    ^
could not find expected ':'
  in ""<unicode string>"", line 42, column 3:
      {{ range $access, $cidr := $value }}
      ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 45, column 1:
    {{#each lambdas}}
    ^
could not find expected ':'
  in ""<unicode string>"", line 46, column 3:
      {{#ifNotEquals this.handler ""fun ... 
      ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 45, column 1:
    {{#each lambdas}}
    ^
could not find expected ':'
  in ""<unicode string>"", line 46, column 3:
      {{@key}}LambdaFunction:
      ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 45, column 7:
          {{- if .PermissionsBoundary}}
          ^
could not find expected ':'
  in ""<unicode string>"", line 46, column 7:
          PermissionsBoundary: !Sub 'arn:$ ... 
          ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 5, column 1:
    {{/*
    ^
could not find expected ':'
  in ""<unicode string>"", line 7, column 45:
     ... dding resources to this template, make sure to add the resources to
                                         ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 50, column 1:
    <<<<<<< HEAD
    ^
could not find expected ':'
  in ""<unicode string>"", line 51, column 7:
          # VpcId: !Ref VpcId
          ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 53, column 1:
    <<<<<<< HEAD
    ^
could not find expected ':'
  in ""<unicode string>"", line 54, column 7:
          #ActivationKey: !Ref ActivationK ... 
          ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 58, column 1:
    <<<<<<< HEAD
    ^
could not find expected ':'
  in ""<unicode string>"", line 59, column 15:
        Properties: {}
                  ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 59, column 1:
    <<<<<<< HEAD
    ^
could not find expected ':'
  in ""<unicode string>"", line 60, column 15:
        Properties: {}
                  ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 6, column 5:
        <caret>
        ^
could not find expected ':'
  in ""<unicode string>"", line 7, column 1:
    
    ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 64, column 1:
    <<<<<<< HEAD
    ^
could not find expected ':'
  in ""<unicode string>"", line 65, column 11:
              # - !Ref AWS::NoValue
              ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 7, column 1:
    <<<<<<< HEAD
    ^
could not find expected ':'
  in ""<unicode string>"", line 8, column 15:
        Properties: 
                  ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 7, column 5:
        {{- if .HTTPHealthCheck.Port}}
        ^
could not find expected ':'
  in ""<unicode string>"", line 8, column 5:
        HealthCheckPort: {{.HTTPHealthCh ... 
        ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 8, column 1:
    {{- if .Aliases}}
    ^
could not find expected ':'
  in ""<unicode string>"", line 9, column 5:
        Aliases: {{ fmtSlice (quoteSlice ... 
        ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 8, column 1:
    {{- if and (and .ALBListener .AL ... 
    ^
could not find expected ':'
  in ""<unicode string>"", line 9, column 5:
        Aliases: {{ fmtSlice (quoteSlice ... 
        ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 8, column 7:
          <caret>
          ^
could not find expected ':'
  in ""<unicode string>"", line 9, column 1:
    
    ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 852, column 5:
        {{- if .UpdatePolicyEnabled }}
        ^
could not find expected ':'
  in ""<unicode string>"", line 853, column 5:
        UpdatePolicy:
        ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 9, column 1:
    $SOURCE
    ^
could not find expected ':'
  in ""<unicode string>"", line 10, column 18:
          Description: Cloudformation custom resource ... 
                     ^",1,0.03
"Load error: while scanning a simple key
  in ""<unicode string>"", line 91, column 1:
    <<<<<<< HEAD
    ^
could not find expected ':'
  in ""<unicode string>"", line 92, column 15:
        Properties: {}
                  ^",1,0.03
"Load error: could not determine a constructor for the tag '!Contains'
  in ""<unicode string>"", line 41, column 11:
            - !Contains
              ^",1,0.03
"Load error: could not determine a constructor for the tag '!Contains'
  in ""<unicode string>"", line 419, column 17:
          - Assert: !Contains
                    ^",1,0.03
"Load error: could not determine a constructor for the tag '!Contains'
  in ""<unicode string>"", line 53, column 11:
            - !Contains
              ^",1,0.03
"Load error: could not determine a constructor for the tag '!Contains'
  in ""<unicode string>"", line 707, column 17:
          - Assert: !Contains
                    ^",1,0.03
"Load error: could not determine a constructor for the tag '!Contains'
  in ""<unicode string>"", line 715, column 17:
          - Assert: !Contains
                    ^",1,0.03
"Load error: could not determine a constructor for the tag '!Contains'
  in ""<unicode string>"", line 72, column 17:
          - Assert: !Contains
                    ^",1,0.03
"Load error: could not determine a constructor for the tag '!Contains'
  in ""<unicode string>"", line 778, column 17:
          - Assert: !Contains
                    ^",1,0.03
"Load error: could not determine a constructor for the tag '!EachMemberEquals'
  in ""<unicode string>"", line 129, column 11:
              !EachMemberEquals [!ValueOfAll [ ... 
              ^",1,0.03
"Load error: could not determine a constructor for the tag '!EachMemberEquals'
  in ""<unicode string>"", line 530, column 20:
        RuleCondition: !EachMemberEquals [ [ !Ref Membe ... 
                       ^",1,0.03
"Load error: could not determine a constructor for the tag '!EachMemberEquals'
  in ""<unicode string>"", line 615, column 20:
        RuleCondition: !EachMemberEquals [ [ !Ref Membe ... 
                       ^",1,0.03
"Load error: could not determine a constructor for the tag '!EachMemberEquals'
  in ""<unicode string>"", line 618, column 20:
        RuleCondition: !EachMemberEquals [ [ !Ref Membe ... 
                       ^",1,0.03
"Load error: could not determine a constructor for the tag '!EachMemberEquals'
  in ""<unicode string>"", line 624, column 20:
        RuleCondition: !EachMemberEquals [ [ !Ref Membe ... 
                       ^",1,0.03
"Load error: while scanning for the next token
found character '%' that cannot start any token
  in ""<unicode string>"", line 2, column 4:
      {% for bucket in buckets %}
       ^",1,0.03
"Load error: while scanning for the next token
found character '%' that cannot start any token
  in ""<unicode string>"", line 274, column 16:
                  {% if aws_elb_account_id %}
                   ^",1,0.03
"Load error: while scanning for the next token
found character '%' that cannot start any token
  in ""<unicode string>"", line 33, column 18:
                    {% for action in actions %}
                     ^",1,0.03
"Load error: while scanning for the next token
found character '%' that cannot start any token
  in ""<unicode string>"", line 35, column 18:
                    {% for action in actions %}
                     ^",1,0.03
"Load error: while scanning for the next token
found character '%' that cannot start any token
  in ""<unicode string>"", line 9, column 2:
    {% set bucket = ""DeploymentBucket"" %}
     ^",1,0.03
"Load error: while scanning for the next token
found character '@' that cannot start any token
  in ""<unicode string>"", line 12, column 10:
      Queue{{@index}}:
             ^",1,0.03
"Load error: while scanning for the next token
found character '@' that cannot start any token
  in ""<unicode string>"", line 5, column 10:
      Topic{{@index}}:
             ^",1,0.03
"Load error: while scanning for the next token
found character '@' that cannot start any token
  in ""<unicode string>"", line 6, column 12:
        Value: @var.ACCOUNT_1_ID@
               ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 101, column 36:
          ""3103"": ami-07414bc0b35a8a896	# partnership account (shared w ... 
                                       ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 1581, column 58:
     ... ary: !Ref QPermissionsBoundary  	
                                         ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 2, column 1:
    	""S3Stack"": {
    ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 20, column 1:
    	# ap-northeast-1 => ami-cbf90ecb
    ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 20, column 1:
    	# https://s3-eu-west-1.amazonaw ... 
    ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 22, column 40:
     ... _NODEJS_CONNECTION_REUSE_ENABLED	: ""1""
                                         ^",1,0.03
"Load error: could not determine a constructor for the tag '!$'
  in ""<unicode string>"", line 22, column 22:
          AccessControl: !$ AccessControl
                         ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 99, column 1:
    			  - 'datazone:*'
    ^",1,0.03
"Load error: could not determine a constructor for the tag '!$'
  in ""<unicode string>"", line 18, column 17:
          RoleName: !$ RoleName
                    ^",1,0.03
Load error: Invalid control character at,1,0.03
Load error: Extra data,1,0.03
